,No,MD (All Wells) (ft),TVD (ft),Bot-Hole direction (N/S)/(E/W),Bot-Hole Easting (NAD83),Bot-Hole Northing (NAD83),Total Proppant Placed (tonne),Avg Proppant Placed per Stage (tonne),Total Fluid Pumped (m3),Avg Fluid Pumped per Stage (m3),Stages Actual,Completed Length (m),Avg Frac Spacing (m),Load Fluid Rec (m3),Load Fluid (m3),Avg Fluid Pumped / Meter (m3),Avg Proppant Placed / Meter (tonne),Proppant Size 1,Avg Proppant 1 Placed (tonne),Total Proppant 1 Placed (tonne),Total Ceramic Proppant Placed (tonne),Total Sand Proppant Placed (tonne),Y_first6,SF_oil,SF_water,SF_slickwater,PC_ceramic,PC_sand
116,208,17792,10169,2.071125265,0.609936644,0.313398477,3105.96,115.04,4412.0,163.41,27,2163.33,81.74,1447.39,4456.9,2.04,1.44,0.0,115.04,3105.96,0.0,3105.96,203317.0833,0,1,0,0,1
117,210,17454,10203,69.78260870000001,0.5983570229999999,0.30964486199999997,3214.97,169.21,4995.0,262.89,19,2099.39,113.04,404.0,4995.0,2.38,1.53,60.0,10.26,195.0,195.0,2026.0,120830.0,0,1,0,1,0
118,211,18947,10227,0.163505155,0.725379969,0.297718725,6788.0,169.7,45684.1,1142.1,40,2533.96,64.01,2061.39,45684.09,18.03,2.68,55.0,169.7,6788.0,0.0,6788.0,126861.75,0,1,0,0,1
119,213,18435,10026,0.17394905800000002,0.725129665,0.298270616,6521.0,163.03,39598.9,989.97,40,2429.88,61.36,2452.9,39598.9,16.3,2.68,55.0,163.03,6521.0,0.0,6521.0,121539.25,0,1,0,0,1
120,215,17785,10061,0.342105263,0.72581082,0.307766165,6843.7,171.09,45690.8,1142.27,40,2238.5,56.42,2538.9,45805.4,20.41,3.06,55.0,171.09,6843.7,0.0,6843.7,116563.0833,0,1,0,0,1
121,219,15932,10097,0.9628482970000001,0.7264016999999999,0.34234251299999996,5469.31,165.74,40086.01,1214.73,33,1635.21,50.45,0.0,40086.0,24.51,3.34,55.0,165.74,5469.31,0.0,5469.31,97415.16667,0,1,0,0,1
122,221,15656,10127,0.834296327,0.72622936,0.33519061,5256.9,169.58,30376.8,979.9,31,1428.73,47.26,2580.57,30376.8,21.26,3.68,55.0,169.58,5256.9,0.0,5256.9,115812.0833,0,1,0,0,1
123,223,15994,10156,1.209469892,0.781333093,0.34165075899999997,1044.84,61.46,2919.29,171.72,17,1494.9,93.34,2075.62,2920.84,1.95,0.7,40.0,30.28,514.79,514.79,530.05,43317.25,1,0,0,1,0
124,224,14921,10050,0.908349515,0.7971104290000001,0.34107996700000004,1161.6,61.14,3967.86,208.83,19,1287.34,71.49,2872.39,4046.4,3.08,0.9,40.0,30.0,570.0,570.0,589.0,34950.91667,1,0,0,1,0
125,226,14764,10093,0.139413519,0.848828907,0.292634523,5945.53,156.46,48596.97,1278.87,38,1175.32,30.5,1408.6,51818.81,41.35,5.06,55.0,156.46,5945.53,0.0,5945.53,40274.33333,0,1,0,0,1
126,228,14436,9896,0.150654483,0.8491325540000001,0.293175074,5926.35,160.17,49739.48,1344.31,37,1172.08,30.42,1278.86,58327.06,42.44,5.06,55.0,160.17,5926.35,0.0,5926.35,34269.91667,0,1,0,0,1
127,230,14157,9920,0.18839487600000002,0.831668746,0.292256516,5651.15,156.98,46438.28,1289.95,36,1155.0,31.89,2201.93,46854.02,40.21,4.89,55.0,156.98,5651.15,0.0,5651.15,76344.08333,0,0,1,0,1
128,232,14560,10038,0.173514632,0.84080688,0.293084352,5866.3,150.42,51504.4,1320.63,39,1227.0,32.12,1061.85,52362.7,41.98,4.78,55.0,150.42,5866.3,0.0,5866.3,61437.5,0,0,1,0,1
129,234,14534,10132,0.18885096699999998,0.8314553720000001,0.292218715,5631.74,152.21,42166.77,1139.64,37,1094.6,30.13,84.2,42166.8,38.52,5.15,55.0,147.88,5471.74,0.0,5631.74,22975.41667,0,0,1,0,1
130,236,14255,10045,0.29063786,0.822809638,0.29319019399999996,5283.42,150.95,45763.62,1307.53,35,1056.0,29.31,1949.78,46064.9,43.34,5.0,55.0,150.95,5283.42,0.0,5283.42,51509.08333,0,0,1,0,1
131,239,15961,10078,3.857733664,0.8147465779999999,0.34055831700000005,1098.0,61.0,2664.8,148.04,18,1316.79,77.45,2746.3,2746.3,2.02,0.83,40.0,20.0,360.0,360.0,738.0,16123.833330000001,1,0,0,1,0
132,240,16732,9787,2.687037037,0.872427207,0.302390898,3225.0,115.18,5784.8,206.6,28,2054.1,73.27,1388.58,6922.2,2.82,1.57,55.0,99.82,2795.0,0.0,3225.0,11202.41667,0,1,0,0,1
133,264,18028,10779,0.93986637,0.496282375,0.021644711,6281.4,157.04,44653.91,1116.35,40,2064.7,52.92,5322.05,46015.8,21.63,3.04,55.0,157.04,6281.4,0.0,6281.4,302262.0,0,0,1,0,1
134,284,18340,11124,1.3265651440000001,0.35423710700000005,0.08798503099999999,4321.87,160.07,27880.86,1032.62,27,2062.7,71.09,3298.09,27988.87,13.52,2.1,55.0,160.07,4321.87,0.0,4321.87,113951.5833,0,1,0,0,1
135,286,18258,11119,1.904242424,0.345320553,0.088226956,5122.92,176.65,31784.19,1096.01,29,2146.97,76.59,3202.45,32288.0,14.8,2.39,55.0,176.65,5122.92,0.0,5122.92,95471.75,0,1,0,0,1
136,288,18376,11134,3.177664975,0.336990776,0.08828365699999999,6403.26,160.08,44500.12,1112.5,40,2149.36,54.92,3906.49,44500.05,20.7,2.98,55.0,160.08,6403.26,0.0,6403.26,89112.75,0,1,0,0,1
137,290,18419,11137,7.692874692999999,0.329777107,0.088487781,4964.91,160.16,30893.34,996.56,31,2104.97,68.88,4793.0,31305.04,14.68,2.36,55.0,160.16,4964.91,0.0,4964.91,91581.5,0,1,0,0,1
138,294,17897,10654,0.230580289,0.565583659,0.055854392,6237.64,155.94,49327.2,1233.18,40,2069.93,53.57,146.85,146.85,23.83,3.01,55.0,155.94,6237.64,0.0,6237.64,176133.0833,0,1,0,0,1
139,296,20932,10863,0.958167331,0.556720448,0.075144115,6326.9,162.23,37712.53,966.99,39,2911.84,75.45,278.47,40892.3,12.95,2.17,55.0,162.23,6326.9,0.0,6326.9,283778.5833,0,1,0,0,1
140,300,17306,10630,0.7275329140000001,0.569079703,0.076440681,6080.99,160.03,44173.6,1162.46,38,1883.11,49.92,236.28,44694.8,23.46,3.23,55.0,160.03,6080.99,0.0,6080.99,156489.8333,0,1,0,0,1
141,302,19029,10636,0.589917769,0.5600933920000001,0.06636300099999999,6403.32,160.08,56775.0,1419.38,40,2275.61,57.57,1921.19,57590.1,24.95,2.81,55.0,160.08,6403.32,0.0,6403.32,167611.3333,0,1,0,0,1
142,304,21706,10934,0.945172825,0.567528641,0.083751347,6348.04,158.7,40432.76,1010.82,40,3139.8,79.49,0.0,40820.5,12.88,2.02,55.0,158.7,6348.04,0.0,6348.04,281326.0,0,0,1,0,1
143,306,21184,10783,0.9201708279999999,0.5635114729999999,0.079544123,5979.52,149.49,49408.97,1235.22,40,3021.2,76.39,518.96,49810.1,16.35,1.98,55.0,149.49,5979.52,0.0,5979.52,116210.25,0,0,1,0,1
144,308,19767,10787,0.350419385,0.56672849,0.122183371,6252.64,156.32,45856.68,1146.42,40,2536.8,64.13,0.0,46148.5,18.08,2.46,55.0,156.32,6252.64,0.0,6252.64,159216.75,0,1,0,0,1
145,310,19144,10882,0.7653405259999999,0.54502183,0.122727702,5750.13,159.73,42476.67,1179.91,36,2095.0,58.93,0.0,42840.0,20.28,2.74,45.0,16.0,576.0,646.0,5104.13,178855.5,0,1,0,1,0
146,314,17723,10708,1.095238095,0.532642058,0.116259994,3110.0,115.19,5763.9,213.48,27,2108.11,80.27,0.0,5763.9,2.73,1.48,60.0,15.0,405.0,405.0,2705.0,150610.0,0,1,0,1,0
147,316,18373,10739,2.126126126,0.533434002,0.123479937,4971.2,142.03,49168.4,1404.81,35,2156.7,54.45,568.38,49168.38,22.8,2.31,45.0,5.38,188.39,188.39,4782.81,81958.0,0,1,0,1,0
148,318,15659,10699,1.589352043,0.5575616320000001,0.15376589999999998,729.66,45.6,1577.4,98.59,16,1363.84,88.0,676.36,1586.25,1.16,0.54,60.0,8.74,139.85,139.85,589.81,173128.0833,0,1,0,1,0
149,320,18425,11014,0.682016807,0.363182385,0.13697858599999999,6427.3,160.68,39966.7,999.17,40,2094.49,52.88,0.0,40215.6,19.08,3.07,55.0,160.68,6427.3,0.0,6427.3,176513.8333,0,1,0,0,1
150,322,18343,10989,0.8870967740000001,0.363362932,0.144001966,6406.13,160.15,42161.9,1054.05,40,2108.02,53.22,1986.4,42397.1,20.0,3.04,55.0,160.15,6406.13,0.0,6406.13,121615.1667,0,1,0,0,1
151,324,18264,10960,1.5626890759999998,0.363966123,0.16713224599999998,6335.9,158.4,38206.7,955.17,40,2122.35,54.37,2047.34,38206.74,18.0,2.99,55.0,158.4,6335.9,0.0,6335.9,125825.5833,0,1,0,0,1
152,326,18396,11005,1.343308675,0.36376916299999995,0.15960233599999998,7358.55,175.2,46248.5,1101.15,42,2156.2,51.85,5820.41,48109.42,21.45,3.41,55.0,175.2,7358.55,0.0,7358.55,146161.8333,0,1,0,0,1
153,338,21614,10518,37.11363636,0.39594754299999996,0.21098867899999998,6519.62,162.99,46595.84,1164.9,40,3920.82,10.33,1062.3,46595.8,11.88,1.66,55.0,162.99,6519.62,0.0,6519.62,101391.3333,0,1,0,0,1
154,340,20459,10401,5.426686217,0.403522306,0.215827175,6118.46,156.88,55784.21,1430.36,39,2926.7,74.1,3436.59,56238.25,19.06,2.09,55.0,156.88,6118.46,0.0,6118.46,107837.4167,0,0,1,0,1
155,342,21112,10516,41.60606061,0.39633736,0.220824434,6370.64,159.27,52686.5,1317.16,40,3122.78,79.31,1626.78,53387.55,16.87,2.04,55.0,159.27,6370.64,0.0,6370.64,160768.8333,0,0,1,0,1
156,344,19783,10410,7.577557756,0.402828842,0.22611276,6405.81,160.15,47752.83,1193.82,40,2735.75,69.42,0.0,47357.5,17.46,2.34,55.0,160.15,6405.81,0.0,6405.81,92858.75,0,0,1,0,1
157,346,20325,10518,49.76237624,0.3966328,0.231253662,6076.96,159.92,21349.04,561.82,38,2814.72,74.25,1611.3,21349.0,7.58,2.16,55.0,159.92,6076.96,0.0,6076.96,102022.5833,0,1,0,0,1
158,358,16873,10771,1.953441296,0.534115156,0.18140581,3523.52,92.72,40011.3,1052.93,38,1726.77,44.17,140.8,40560.1,23.17,2.04,45.0,2.97,112.93,229.22,3294.3,26760.25,0,1,0,1,0
159,360,19423,10625,4.83902439,0.533372452,0.19316184399999997,4838.28,210.36,7016.5,305.07,23,2492.6,108.37,878.01,7125.9,2.81,1.94,55.0,210.36,4838.28,0.0,4838.28,119937.1667,0,1,0,0,1
160,362,15814,10665,9.543046358,0.529970784,0.187004101,3073.76,99.15,29886.6,964.08,31,1387.1,45.5,295.89,30247.1,21.55,2.22,45.0,4.03,125.0,125.0,2948.76,18748.0,0,1,0,1,0
161,364,19800,10605,6.066666667000001,0.536006795,0.21115500199999998,3911.3,139.69,5487.53,195.98,28,3377.79,93.43,1781.24,5656.0,1.62,1.16,55.0,1.58,44.3,449.4,3461.9,178907.3333,0,1,0,1,0
162,366,19062,10451,5.101933216,0.535608771,0.203715814,3745.56,156.07,8304.2,346.01,24,2352.88,100.86,1113.27,8304.17,3.53,1.59,55.0,156.07,3745.56,0.0,3745.56,60977.5,0,1,0,0,1
163,368,20630,10523,6.326226012999999,0.469101861,0.267882591,4502.77,160.81,7848.3,280.3,28,2899.9,107.37,1930.05,7814.7,2.71,1.55,55.0,160.81,4502.77,0.0,4502.77,87598.33333,0,1,0,0,1
164,370,20876,10689,126.1282051,0.464280439,0.29049878100000004,2785.53,75.28,14917.7,403.18,37,2890.7,79.42,3186.66,15173.67,5.16,0.96,60.0,12.17,450.25,558.13,2227.4,118624.9167,0,0,1,1,0
165,374,19524,10397,0.11042944800000001,0.403616683,0.23598253600000002,6037.64,158.89,18285.6,481.2,38,2657.2,67.32,0.0,18285.6,6.88,2.27,55.0,158.89,6037.64,0.0,6037.64,38058.33333,0,1,0,0,1
166,376,20194,10521,0.619273984,0.424785806,0.251170878,6202.95,238.58,8695.3,334.43,26,2686.74,105.72,1488.1,8692.89,3.24,2.31,55.0,238.58,6202.95,0.0,6202.95,38999.41667,0,1,0,0,1
167,378,20413,10520,0.31627907,0.455006894,0.25123136,4460.3,123.9,29366.3,815.73,36,2896.9,82.73,4043.99,29366.29,10.14,1.54,60.0,14.83,533.8,533.8,3926.5,71774.08333,0,1,0,1,0
168,393,20112,10802,0.22301933899999998,0.236684667,0.307463759,5573.48,142.91,62566.55,1604.27,39,2672.35,68.5,5415.93,65258.34,23.41,2.09,55.0,142.91,5573.48,0.0,5573.48,150019.0,0,1,0,0,1
169,403,17966,10622,0.498630762,0.45244641,0.319662061,2043.16,72.97,11286.3,403.08,28,2206.84,80.81,933.27,11409.5,5.11,0.93,60.0,14.84,415.57,415.57,1627.59,63664.083329999994,0,0,1,1,0
170,405,19606,10561,0.311895551,0.489893477,0.301139693,6542.1,163.55,41963.7,1049.09,40,2701.17,68.14,499.07,41963.7,15.54,2.42,55.0,163.55,6542.1,0.0,6542.1,148510.25,0,1,0,0,1
171,407,20505,10675,0.605263158,0.467238946,0.296029031,4500.0,125.0,5807.44,161.32,36,2863.64,80.43,0.0,5807.4,2.03,1.57,60.0,12.5,450.0,450.0,4050.0,39410.58333,0,0,1,1,0
172,410,19984,10421,0.69776482,0.490016577,0.310223213,4771.8,164.54,31292.37,1079.05,29,2753.08,98.03,1220.29,34772.07,11.37,1.73,55.0,164.54,4771.8,0.0,4771.8,121095.1667,0,1,0,0,1
173,412,20075,10540,1.9269380930000002,0.4872878570000001,0.333553838,4466.0,159.5,32980.7,1177.88,28,2716.5,99.48,2747.62,32980.67,12.14,1.64,55.0,159.5,4466.0,0.0,4466.0,41988.83333,0,1,0,0,1
174,414,19849,10386,1.665911151,0.492531924,0.335965526,6400.0,160.0,42614.3,1065.36,40,2726.26,69.01,0.0,42617.3,15.63,2.35,55.0,160.0,6400.0,0.0,6400.0,52626.5,0,1,0,0,1
175,416,19685,10285,1.719017094,0.48819879899999996,0.33079816300000003,4480.0,160.0,34170.1,1220.36,28,2666.07,97.5,25.44,34195.54,12.82,1.68,55.0,160.0,4480.0,0.0,4480.0,92965.0,0,1,0,0,1
176,418,19514,10452,1.4971578490000002,0.493442865,0.333039747,6578.97,164.47,51139.81,1278.5,40,2593.65,65.81,1536.91,51512.3,19.72,2.54,55.0,164.47,6578.97,0.0,6578.97,150939.8333,0,1,0,0,1
177,420,19049,10302,1.429064417,0.4975420999999999,0.336487176,5732.8,146.99,44284.6,1135.5,39,2475.52,68.0,1178.9,49091.19,17.89,2.32,55.0,146.99,5732.8,0.0,5732.8,72356.25,0,1,0,0,1
178,422,20413,10501,1.5743265709999998,0.502860027,0.347944584,4937.0,176.32,32499.37,1160.69,28,2823.23,104.55,0.0,32499.4,11.51,1.75,55.0,176.32,4937.0,0.0,4937.0,41306.41667,0,1,0,0,1
179,424,20374,10369,1.424521858,0.501686472,0.341488216,4319.0,159.96,33684.89,1247.59,27,2874.39,104.76,10.0,33684.9,11.72,1.5,55.0,159.96,4319.0,0.0,4319.0,44901.75,0,1,0,0,1
180,426,19275,10293,1.37269026,0.505067623,0.34385832299999997,6330.3,158.26,48134.0,1203.35,40,2568.09,65.05,52.16,47834.6,18.74,2.46,55.0,158.26,6330.3,0.0,6330.3,89681.0,0,1,0,0,1
181,428,19298,10411,1.383247863,0.501620819,0.340059347,4117.3,171.55,27550.06,1147.92,24,2461.4,89.44,0.0,28573.9,11.19,1.67,55.0,171.55,4117.3,0.0,4117.3,117720.25,0,1,0,0,1
182,430,17654,10188,0.08477957300000001,0.593535601,0.296323877,3156.64,166.14,3618.4,190.44,19,2205.13,113.48,1164.91,3726.54,1.64,1.43,0.0,166.14,3156.64,0.0,3156.64,201978.6667,0,1,0,0,1
183,438,20138,9913,0.7495268140000001,0.753065194,0.36367725700000003,4465.13,159.47,7661.8,273.64,28,2859.3,104.43,337.06,7626.3,2.68,1.56,55.0,159.47,4465.13,0.0,4465.13,85499.41667,0,1,0,0,1
184,440,19902,9740,0.693815988,0.7665815909999999,0.370938782,4482.18,160.08,6575.0,234.82,28,2853.39,105.63,701.68,6576.3,2.3,1.57,55.0,160.08,4482.18,0.0,4482.18,98591.75,0,1,0,0,1
185,442,19970,9717,0.912695875,0.7727858390000001,0.382509592,4475.75,159.85,6558.3,234.23,28,2843.1,103.62,472.41,6558.3,2.31,1.57,55.0,159.85,4475.75,0.0,4475.75,86573.91667,0,1,0,0,1
186,448,16161,9978,0.809890656,0.717243049,0.388266647,2710.1,117.83,4114.8,178.9,23,1721.92,76.84,818.51,4144.5,2.39,1.57,60.0,15.18,349.1,349.1,2361.0,211047.1667,0,1,0,1,0
187,452,18632,10042,0.098141264,0.751243312,0.41202063899999997,6400.73,160.02,43708.34,1092.71,40,2373.57,60.47,1053.92,44831.9,18.41,2.7,55.0,160.02,6400.73,0.0,6400.73,137499.4167,0,0,1,0,1
188,454,18445,9893,0.265830346,0.755449233,0.41555122899999997,7836.13,156.72,57961.7,1159.23,50,2463.24,49.48,1198.86,59496.55,23.53,3.18,55.0,156.72,7836.13,0.0,7836.13,92970.83333,0,0,1,0,1
189,456,18517,10036,0.36452241700000004,0.760258346,0.4189495170000001,6080.14,152.0,45169.78,1129.24,40,2365.2,63.9,1708.21,45169.71,19.1,2.57,55.0,152.0,6080.14,0.0,6080.14,55734.75,0,0,1,0,1
190,458,18396,9891,0.41359303799999997,0.764841775,0.421758113,8000.01,160.0,58200.16,1164.0,50,2477.22,49.87,1220.74,59496.55,23.49,3.23,55.0,160.0,8000.01,0.0,8000.01,122509.25,0,0,1,0,1
191,460,16109,9857,0.233788396,0.749105472,0.41370277299999997,2495.0,124.75,3548.6,177.43,20,1583.92,81.37,948.06,3547.5,2.24,1.58,60.0,15.15,303.0,303.0,2192.0,63135.583329999994,0,1,0,1,0
192,461,18832,9584,0.560373582,0.772330368,0.429431666,5679.02,167.03,33858.16,995.83,34,2596.48,64.0,358.5,33313.66,13.04,2.19,55.0,167.03,5679.02,0.0,5679.02,94760.75,0,1,0,0,1
193,463,18537,9713,0.573507574,0.777020484,0.4322440420000001,8269.73,206.74,48694.7,1217.37,40,2509.51,63.83,0.0,48694.7,19.4,3.3,55.0,206.74,8269.73,0.0,8269.73,94979.08333,0,1,0,0,1
194,465,18146,9560,0.5925529070000001,0.781665463,0.435389064,6591.9,164.8,41762.14,1044.05,40,2488.89,62.91,1.5,41762.1,16.78,2.65,55.0,164.8,6591.9,0.0,6591.9,85299.91667,0,0,1,0,1
195,471,18301,9711,0.625216745,0.785547221,0.43888563399999997,4874.88,162.5,40578.6,1352.62,30,1774.87,60.15,1594.1,41976.48,22.86,2.75,55.0,162.5,4874.88,0.0,4874.88,59736.5,0,1,0,0,1
196,473,17667,9843,0.477272727,0.794993106,0.4360052170000001,5030.0,98.63,40385.3,791.87,51,2575.0,43.74,1260.49,43284.9,15.68,1.95,55.0,98.63,5030.0,0.0,5030.0,106291.5833,0,1,0,0,1
197,477,17995,9562,0.682148722,0.7884687979999999,0.443289421,9405.02,156.75,75575.2,1259.59,60,2469.58,41.43,1107.0,76031.87,30.6,3.81,55.0,156.75,9405.02,0.0,9405.02,90517.66667,0,1,0,0,1
198,479,17877,9540,0.6625393079999999,0.798924105,0.44838118299999996,2773.91,69.35,52813.24,1320.33,40,1990.98,108.31,1437.13,52842.94,26.53,1.39,55.0,69.35,2773.91,0.0,2773.91,72925.91667,0,1,0,0,1
199,481,17959,9672,0.786080442,0.7989076909999999,0.455491504,9991.82,166.53,58339.4,972.32,60,2427.58,40.7,3049.51,59927.1,24.03,4.12,55.0,166.53,9991.82,0.0,9991.82,100452.8333,0,1,0,0,1
200,483,17913,9998,0.5066199379999999,0.7993262320000001,0.4395358070000001,5383.53,99.7,39976.3,740.3,54,2310.8,43.53,1735.63,43344.7,17.3,2.33,55.0,99.7,5383.53,0.0,5383.53,77852.91667,0,1,0,0,1
201,494,18258,9739,40.30136986,0.802978203,0.443376363,5570.36,99.47,44965.2,802.95,56,2298.0,40.91,2045.62,49134.19,19.57,2.42,55.0,99.47,5570.36,0.0,5570.36,66607.58333,0,1,0,0,1
202,496,18668,9958,8.292307692,0.8070405079999999,0.446661249,5813.74,100.24,45053.6,776.79,58,2499.4,43.78,1380.58,45931.0,18.03,2.33,55.0,100.24,5813.74,0.0,5813.74,82553.33333,0,1,0,0,1
203,516,17552,9606,0.541091898,1.0,0.437634429,2791.68,116.32,27756.17,1156.51,24,2261.27,98.0,2545.85,28064.97,12.27,1.23,55.0,32.31,775.37,210.46,2581.22,46227.16667,0,1,0,1,0
204,520,17060,9726,2.927561837,0.884568985,0.507985409,3393.55,121.2,17697.13,632.04,28,2214.12,81.07,1360.49,17697.15,7.99,1.53,60.0,15.16,424.5,424.5,2969.05,44304.58333,0,0,1,1,0
205,523,17224,9926,4.570736434,0.6163870929999999,0.529543178,3078.0,114.0,5311.5,196.72,27,2009.4,77.21,0.0,5311.5,2.64,1.53,55.0,98.63,2663.0,0.0,3078.0,80992.66667,0,1,0,0,1
206,525,16371,9756,9.940677966,0.609399107,0.529395755,2861.71,124.42,4615.72,200.68,23,1798.5,80.51,649.78,4615.72,2.57,1.59,55.0,124.42,2861.71,0.0,2861.71,56161.5,0,1,0,0,1
207,527,17051,9930,1.9792372880000002,0.6329892,0.5286473,3196.0,114.14,4705.0,168.04,28,2072.91,76.7,1209.43,5899.4,2.27,1.54,60.0,15.0,420.0,420.0,2776.0,99924.91667,0,1,0,1,0
208,529,17585,9733,0.9509306259999999,0.611151233,0.54223289,3442.84,122.96,6566.8,234.53,28,2193.24,80.23,780.33,6543.68,2.99,1.57,55.0,122.96,3442.84,0.0,3442.84,46056.83333,0,1,0,0,1
209,533,19892,9479,10.30484988,0.610297738,0.587189325,6984.59,240.85,10035.4,346.05,29,2988.82,105.2,904.66,10035.5,3.36,2.34,55.0,240.85,6984.59,0.0,6984.59,91301.33333,0,1,0,0,1
210,535,20157,9615,3.116925065,0.6911704359999999,0.589714415,6000.46,120.01,43528.57,870.57,50,2972.18,60.35,50.0,46838.7,14.65,2.02,55.0,120.01,6000.46,0.0,6000.46,68346.83333,0,0,1,0,1
211,539,18488,9569,1.721807186,0.706960083,0.589559432,5768.51,117.72,47913.71,977.83,49,2458.1,49.53,2942.68,50697.62,19.49,2.35,55.0,117.72,5768.51,0.0,5768.51,55693.25,0,0,1,0,1
212,541,17257,9376,1.055759671,0.7296843709999999,0.589601013,5895.49,117.91,46460.7,929.21,50,2242.58,45.75,2172.03,48173.44,20.72,2.63,55.0,117.91,5895.49,0.0,5895.49,51622.08333,0,1,0,0,1
213,543,16424,9570,0.942067907,0.7369883140000001,0.589744656,5966.7,119.33,49123.21,982.46,50,1946.6,39.72,2232.53,52410.57,25.24,3.07,55.0,119.33,5966.7,0.0,5966.7,44344.33333,0,1,0,0,1
214,545,17766,9587,1.1929650729999999,0.722261432,0.588992421,6000.66,120.01,45086.53,901.73,50,2366.67,48.1,85.0,46132.7,19.05,2.54,55.0,120.01,6000.66,0.0,6000.66,35681.08333,0,1,0,0,1
215,547,16010,9446,8.244863014,0.7459294879999999,0.588512351,5947.69,118.95,48227.47,964.55,50,1851.2,37.76,344.34,49061.9,26.05,3.21,55.0,118.95,5947.69,0.0,5947.69,49757.75,0,1,0,0,1
216,549,16158,9566,4.181974249,0.753212914,0.588996201,6000.3,120.01,46691.52,933.83,50,1846.0,37.66,2848.23,47624.8,25.29,3.25,55.0,120.01,6000.3,0.0,6000.3,34667.25,0,1,0,0,1
217,553,15850,9448,2.657488987,0.761321111,0.588327128,5060.12,120.48,40674.63,968.44,42,1766.9,43.01,1905.94,42795.57,23.02,2.86,55.0,120.48,5060.12,0.0,5060.12,19932.75,0,1,0,0,1
218,562,16581,9232,1.8044692740000001,0.9002560479999999,0.636515527,5610.43,116.88,39506.2,823.05,48,2006.8,42.11,3771.37,42584.88,19.69,2.8,55.0,116.88,5610.43,0.0,5610.43,29322.66667,0,1,0,0,1
219,564,16781,9404,1.8038942980000001,0.900362735,0.63668185,5764.81,120.1,39041.1,813.36,48,1976.4,41.62,2964.87,40660.57,19.75,2.92,55.0,120.1,5764.81,0.0,5764.81,33732.83333,0,1,0,0,1
220,566,18766,9332,1.808823529,0.905906345,0.6456179479999999,4163.8,148.71,8133.7,290.49,28,2627.92,96.12,2234.84,8133.1,3.1,1.58,55.0,148.71,4163.8,0.0,4163.8,41646.91667,0,1,0,0,1
221,567,16699,9427,2.4208121830000002,0.898265929,0.646861593,6001.31,120.03,37586.2,751.72,50,1991.8,40.63,0.0,38374.6,18.87,3.01,55.0,120.03,6001.31,0.0,6001.31,17663.5,0,1,0,0,1
222,569,16486,9330,2.2207323359999998,0.897744805,0.641527906,5514.01,117.32,36279.6,771.91,47,1945.97,41.84,2893.7,39602.37,18.64,2.83,55.0,117.32,5514.01,0.0,5514.01,29642.83333,0,1,0,0,1
223,571,16470,9215,2.493775934,0.897744805,0.6473341020000001,5631.84,119.83,39786.8,846.53,47,1966.0,42.29,2576.31,40615.92,20.24,2.86,55.0,119.83,5631.84,0.0,5631.84,25910.66667,0,1,0,0,1
224,573,14528,9406,0.599752934,0.8670805570000001,0.6261014189999999,4594.2,241.8,27190.8,1431.09,19,1315.14,73.06,2791.05,27167.6,20.68,3.49,55.0,241.8,4594.2,0.0,4594.2,5699.75,0,1,0,0,1
225,575,19728,9598,0.458489155,0.638951351,0.611291085,4314.7,159.8,27587.9,1021.77,27,2899.21,105.75,0.0,27587.9,9.52,1.49,55.0,159.8,4314.7,0.0,4314.7,46294.83333,0,1,0,0,1
226,577,20374,9589,0.574442435,0.626194071,0.608399327,4775.15,159.17,10139.9,338.0,30,3158.46,103.83,1255.54,10139.9,3.21,1.51,55.0,159.17,4775.15,0.0,4775.15,69772.66667,0,1,0,0,1
227,579,19852,9449,0.422993492,0.634265338,0.608486269,4688.7,161.68,30550.3,1053.46,29,3041.1,103.35,1015.69,30494.8,10.05,1.54,55.0,161.68,4688.7,0.0,4688.7,61083.75,0,1,0,0,1
228,581,20774,9472,0.744779582,0.610650625,0.601447769,4997.01,161.19,8401.61,271.02,31,3232.8,107.73,0.0,8401.6,2.6,1.55,55.0,161.19,4997.01,0.0,4997.01,70951.58333,0,1,0,0,1
229,585,20472,9448,0.803395889,0.619411253,0.607911697,4966.89,160.22,9657.2,311.52,31,3178.11,104.91,0.0,9657.2,3.04,1.56,55.0,160.22,4966.89,0.0,4966.89,71570.75,0,1,0,0,1
230,587,17982,10073,0.9458283909999999,0.5646029610000001,0.381553233,3369.08,93.59,19711.6,547.54,36,2128.6,56.0,489.96,19711.6,9.26,1.58,55.0,93.59,3369.08,0.0,3369.08,19217.08333,0,0,1,0,1
231,591,17562,9998,0.922421142,0.57722483,0.391131944,3885.47,99.63,13440.39,344.63,39,2100.1,53.83,146.92,14736.82,6.4,1.85,55.0,99.63,3885.47,0.0,3885.47,40846.08333,0,1,0,0,1
232,593,17654,10199,0.905935777,0.571652496,0.3860326220000001,4045.46,101.14,10708.8,267.72,40,2050.2,52.56,122.08,12277.11,5.22,1.97,55.0,101.14,4045.46,0.0,4045.46,131893.5,0,1,0,0,1
233,595,20013,10069,1.5769230769999998,0.557216952,0.389113383,4456.84,123.8,7249.88,201.39,36,2884.5,82.41,1361.9,7249.9,2.51,1.55,55.0,123.8,4456.84,0.0,4456.84,64077.583329999994,0,1,0,0,1
