No,CPA Pretty Well ID,Reference (KB) Elev. (ft),Ground Elevation (ft),MD (All Wells) (ft),TVD (ft),Bot-Hole direction (N/S)/(E/W),Bot-Hole Easting (NAD83),Bot-Hole Northing (NAD83),On Prod YYYY/MM/DD,First Prod YYYY/MM,Last Prod. YYYY/MM,Stimulation Fluid,Total Proppant Placed (tonne),Avg Proppant Placed per Stage (tonne),Total Fluid Pumped (m3),Avg Fluid Pumped per Stage (m3),Stages Actual,Completed Length (m),Avg Frac Spacing (m),Load Fluid Rec (m3),Load Fluid (m3),Avg Fluid Pumped / Meter (m3),Avg Proppant Placed / Meter (tonne),Proppant Composition,Proppant Name 1,Proppant Size 1,Avg Proppant 1 Placed (tonne),Total Proppant 1 Placed (tonne),Total Ceramic Proppant Placed (tonne),Total Sand Proppant Placed (tonne),First 6 mo. Avg. GAS (Mcf),GAS_MONTH_1,GAS_MONTH_2,GAS_MONTH_3,GAS_MONTH_4,GAS_MONTH_5,GAS_MONTH_6,GAS_MONTH_7,GAS_MONTH_8,GAS_MONTH_9,GAS_MONTH_10,GAS_MONTH_11,GAS_MONTH_12,GAS_MONTH_13,GAS_MONTH_14,GAS_MONTH_15,GAS_MONTH_16,GAS_MONTH_17,GAS_MONTH_18,GAS_MONTH_19,GAS_MONTH_20,GAS_MONTH_21,GAS_MONTH_22,GAS_MONTH_23,GAS_MONTH_24,GAS_MONTH_25,GAS_MONTH_26,GAS_MONTH_27,GAS_MONTH_28,GAS_MONTH_29,GAS_MONTH_30,GAS_MONTH_31,GAS_MONTH_32,GAS_MONTH_33,GAS_MONTH_34,GAS_MONTH_35,GAS_MONTH_36,Last 6 mo. Avg. GAS (Mcf),CND_MONTH_1,CND_MONTH_2,CND_MONTH_3,CND_MONTH_4,CND_MONTH_5,CND_MONTH_6,CND_MONTH_7,CND_MONTH_8,CND_MONTH_9,CND_MONTH_10,CND_MONTH_11,CND_MONTH_12,CND_MONTH_13,CND_MONTH_14,CND_MONTH_15,CND_MONTH_16,CND_MONTH_17,CND_MONTH_18,CND_MONTH_19,CND_MONTH_20,CND_MONTH_21,CND_MONTH_22,CND_MONTH_23,CND_MONTH_24,CND_MONTH_25,CND_MONTH_26,CND_MONTH_27,CND_MONTH_28,CND_MONTH_29,CND_MONTH_30,CND_MONTH_31,CND_MONTH_32,CND_MONTH_33,CND_MONTH_34,CND_MONTH_35,CND_MONTH_36,HRS_MONTH_1,HRS_MONTH_2,HRS_MONTH_3,HRS_MONTH_4,HRS_MONTH_5,HRS_MONTH_6,HRS_MONTH_7,HRS_MONTH_8,HRS_MONTH_9,HRS_MONTH_10,HRS_MONTH_11,HRS_MONTH_12,HRS_MONTH_13,HRS_MONTH_14,HRS_MONTH_15,HRS_MONTH_16,HRS_MONTH_17,HRS_MONTH_18,HRS_MONTH_19,HRS_MONTH_20,HRS_MONTH_21,HRS_MONTH_22,HRS_MONTH_23,HRS_MONTH_24,HRS_MONTH_25,HRS_MONTH_26,HRS_MONTH_27,HRS_MONTH_28,HRS_MONTH_29,HRS_MONTH_30,HRS_MONTH_31,HRS_MONTH_32,HRS_MONTH_33,HRS_MONTH_34,HRS_MONTH_35,HRS_MONTH_36
324,120,3282,3254,18264,10960,1.562689076,0.363966123,0.167132246,2017/02/01,2016/12/01,2021/07/31,Slickwater,6335.9,158.4,38206.7,955.17,40,2122.35,54.37,2047.34,38206.74,18,2.99,Sand,Sand,40/70,158.4,6335.9,0,6335.9,125825.5833,10146,229575,107421,199191,163728,157005,155442,144333,146523,156111,84303,89439,85350,72276,62169,51660,41343,41598,41325,44493,36672,25902,27357,21285,17295,16446,20862,22341,19248,19386,19233,17322,14022,15990,19818,23598,18330.5,75,246,99,0,60,27,0,0,42,0,1029,363,18,15,36,84,1707,3000,2394,3279,2592,2106,2016,2214,1836,2100,2289,1959,1341,1869,1779,1041,1002,1251,1890,1773,219,744,672,568,700,639,708,723,542,706,631,633,739,735,668,740,613,603,678,678,728,651,698,688,637,722,634,738,700,724,702,656,703,708,720,699
326,121,3282,3254,18396,11005,1.343308675,0.363769163,0.159602336,2017/02/01,2016/12/01,2021/07/31,Slickwater,7358.55,175.2,46248.5,1101.15,42,2156.2,51.85,5820.41,48109.42,21.45,3.41,Sand,Sand,40/70,175.2,7358.55,0,7358.55,146161.8333,52890,186072,129252,233730,233505,209163,193977,144270,146502,165711,124110,102450,85179,77001,68778,76716,80496,88539,84687,84282,77514,76878,57852,29220,22620,27861,28848,26742,25647,23829,23181,19695,23355,28293,27861,25341,24621,2601,156,141,0,90,39,0,0,51,0,1374,432,18,21,54,126,2934,3993,3483,4599,3990,3681,2601,2922,2742,3474,3351,2616,2037,2670,2607,1752,2205,2295,2661,2076,302,744,672,522,693,684,709,728,521,708,732,660,740,736,668,739,603,648,675,679,729,702,666,699,703,728,640,736,713,722,705,698,676,684,735,715
338,127,3083,3054,21614,10518,37.11363636,0.395947543,0.210988679,2017/08/20,2017/07/01,2021/07/31,Slickwater,6519.62,162.99,46595.84,1164.9,40,3920.82,10.33,1062.3,46595.8,11.88,1.66,Sand,Sand,40/70,162.99,6519.62,0,6519.62,101391.3333,162690,164775,165948,117879,113403,106353,86274,77184,77613,72282,65385,60966,58785,59106,63099,53349,48504,47004,45519,44349,42852,39171,38088,38352,38937,39501,37713,36396,37725,34629,36708,32805,31368,30438,29373,28863,31592.5,32409,22755,17463,12732,11670,10518,7647,6999,5253,5028,4935,4233,3939,3768,3993,3513,3273,3006,2460,2418,2244,2148,2013,2085,2028,1902,2040,1698,1806,1698,1716,1815,1722,1650,1572,1554,648,696,656,641,685,729,724,672,744,720,741,717,739,737,507,743,718,737,742,666,734,718,743,711,744,742,720,732,715,744,735,691,743,719,743,720
340,128,3083,3054,20459,10401,5.426686217,0.403522306,0.215827175,2017/08/23,2017/07/01,2021/07/31,Slickwater: TWS-EcoClean-GSW,6118.46,156.88,55784.21,1430.36,39,2926.7,74.1,3436.59,56238.25,19.06,2.09,Sand,Sand,40/70,156.88,6118.46,0,6118.46,107837.4167,172131,185670,174093,131775,146874,123891,94986,81573,76380,73560,68109,64149,64560,60477,63492,52791,49287,48348,48219,47160,45387,41997,39618,39270,38910,39009,38088,36579,36162,34473,33453,31860,30900,30321,29700,29493,30954.5,38010,32109,19770,14790,14601,11106,7425,6621,5562,4938,4368,3852,3720,3615,3714,3408,3183,3036,2487,2634,2439,2304,2190,2286,2220,2112,2154,1743,1575,1491,1389,1500,1449,1419,1431,1338,528,624,649,666,702,736,725,672,744,720,741,717,740,736,505,720,718,736,741,666,736,718,740,720,744,742,720,732,716,742,735,692,741,719,743,719
342,129,3083,3054,21112,10516,41.60606061,0.39633736,0.220824434,2017/08/20,2017/07/01,2021/07/31,Slickwater: TWS-EcoClean-GSW,6370.64,159.27,52686.5,1317.16,40,3122.78,79.31,1626.78,53387.55,16.87,2.04,Sand,Sand,40/70,159.27,6370.64,0,6370.64,160768.8333,210798,176106,182670,173175,191748,194877,157635,175788,162990,142929,117375,104349,84612,96483,96075,89280,89583,87375,83025,78846,75177,68424,64815,66564,64839,66462,65109,61593,61998,58440,56964,54126,55398,53196,50994,50814,53582,44355,25287,18177,14361,14595,13488,9108,7719,6099,4896,4611,4074,3582,4269,4764,4020,3912,3411,2487,2445,2199,2220,1968,2112,1812,1851,1791,1641,1533,1488,1431,1308,1368,1266,1200,1155,744,624,657,733,695,733,724,670,744,719,741,540,332,737,504,743,718,737,740,667,735,718,744,711,744,742,720,733,717,744,734,692,743,717,743,720
344,130,3083,3054,19783,10410,7.577557756,0.402828842,0.22611276,2017/08/20,2017/07/01,2021/07/31,Slickwater: TWS-EcoClean-GSW,6405.81,160.15,47752.83,1193.82,40,2735.75,69.42,0,47357.5,17.46,2.34,Sand,Sand,40/70,160.15,6405.81,0,6405.81,92858.75,164151,141342,174237,220725,141318,110193,83283,74727,69339,67119,60312,55359,55326,50670,52002,41820,41595,40752,39492,37812,36960,33279,31377,31578,30870,31329,30813,30093,30135,29352,28665,27285,26919,26043,25356,25035,26550.5,39435,25974,20364,24189,13182,10566,7722,6507,5139,4593,4047,3501,3351,3294,3420,3117,2997,2841,2283,2211,2106,2016,1914,2031,1836,1662,1338,1428,1500,1389,1338,1392,1359,1299,1308,1233,360,432,653,429,699,726,725,672,744,720,741,717,740,736,507,743,718,737,742,666,729,718,740,720,744,740,720,732,717,744,734,692,741,717,742,720
346,131,3083,3054,20325,10518,49.76237624,0.3966328,0.231253662,2017/08/20,2017/06/01,2021/07/31,Water: SLB-WaterFrac (WF),6076.96,159.92,21349.04,561.82,38,2814.72,74.25,1611.3,21349,7.58,2.16,Sand,Sand,40/70,159.92,6076.96,0,6076.96,102022.5833,0,124104,119646,141498,150609,171927,151875,119859,108762,98673,94125,85602,79854,71787,63420,66711,58845,56997,58359,59520,57834,55473,50472,47631,46227,45063,45924,44112,42060,42225,39714,38310,35982,34662,33447,32301,35736,1209,37950,18837,15945,12366,11985,8730,6930,6159,5145,5013,4122,3654,2628,3132,3579,3183,3036,3018,2550,2475,2172,2109,1944,1803,1794,1782,1740,1674,1692,1482,1431,1461,1404,1590,1611,24,456,288,626,730,689,733,715,672,731,720,741,717,636,736,507,743,718,736,742,667,732,718,738,720,744,742,720,732,717,744,735,692,740,712,742
358,135,3316,3295,16873,10771,1.953441296,0.534115156,0.18140581,2017/10/31,2017/10/01,2021/07/31,Slickwater,3523.52,92.72,40011.3,1052.93,38,1726.77,44.17,140.8,40560.1,23.17,2.04,Ceramic/Sand,Oxane Ceramic,40/50,2.97,112.93,229.22,3294.3,26760.25,7203,66903,69912,56664,45618,40086,40158,4770,16956,27642,34083,26103,28197,10608,20793,21585,27174,27123,24864,23916,23079,22245,22728,22383,25482,24048,21276,21792,20106,18294,18096,17571,17502,17595,17586,16578,17488,10554,1674,72,105,36,6,11715,1623,9171,5265,4071,3384,3426,1506,2712,2874,3072,2505,2379,2382,2931,2334,1929,1761,1728,1821,2523,1812,1587,1551,1524,1434,1437,1497,1602,1452,24,452,541,680,658,677,68,405,482,590,642,623,649,691,702,560,633,725,691,699,505,597,703,699,726,718,694,631,651,719,701,733,717,726,721,715
360,136,3253,3233,19423,10625,4.83902439,0.533372452,0.193161844,2015/08/15,2015/08/01,2021/07/31,Water: SLB-WaterFrac (WF),4838.28,210.36,7016.5,305.07,23,2492.6,108.37,878.01,7125.9,2.81,1.94,Sand,Sand,40/70,210.36,4838.28,0,4838.28,119937.1667,81681,0,0,185424,182046,174858,149784,143601,161832,165369,173871,155508,162240,125595,125448,123993,106167,106419,102195,100794,124233,111564,90495,88809,76998,46629,31257,43779,43497,44133,41700,42396,43137,43116,38415,56427,44198.5,12804,0,0,15489,17283,13842,9954,9783,9408,7737,6039,6483,4803,4032,4770,4479,4314,3738,3480,3459,3222,2592,2238,2010,2151,1341,1722,2844,2535,2676,2490,2634,2775,2883,2556,2433,113,0,0,470,730,737,669,706,703,740,718,743,720,719,383,704,744,743,671,734,688,743,719,609,732,680,522,711,740,727,670,743,720,739,715,743
362,137,3316,3294,15814,10665,9.543046358,0.529970784,0.187004101,2017/10/30,2017/10/01,2021/07/31,Slickwater,3073.76,99.15,29886.6,964.08,31,1387.1,45.5,295.89,30247.1,21.55,2.22,Ceramic/Sand,Oxane Ceramic,40/50,4.03,125,125,2948.76,18748,19917,59922,28350,39003,29727,24306,24909,23358,18021,14964,16575,14664,10950,10110,8298,8556,6915,5484,3894,5295,11331,11247,13635,13533,14184,13740,12249,12069,12330,11328,12549,12747,12771,12444,12051,11769,12388.5,12612,2229,348,84,27,6,6291,3822,4722,3207,2625,2457,2232,1896,1782,1695,1458,1326,1104,1584,2106,1413,588,507,489,318,153,348,441,402,1434,1224,1110,1092,1239,1122,48,309,307,650,639,710,463,687,684,699,744,648,665,705,720,714,620,720,688,545,511,550,652,601,602,719,711,601,639,706,685,732,717,725,711,716
364,138,3249,3230,19800,10605,6.066666667,0.536006795,0.211155002,2013/11/15,2013/11/01,2021/07/31,Water: TWS-Nitrified Foam (NF),3911.3,139.69,5487.53,195.98,28,3377.79,93.43,1781.24,5656,1.62,1.16,Ceramic/Sand,EconoProp,40/70,1.58,44.3,449.4,3461.9,178907.3333,0,126675,244110,259068,305178,338412,265665,279261,275661,318030,382173,265713,293646,220269,238422,259098,274737,243390,236661,0,0,2544,4068,208584,187458,165885,169968,156342,138588,149301,146652,152778,129603,139992,107784,98820,129271.5,14004,0,0,0,0,2532,5208,0,0,0,0,6,0,0,35853,41961,11778,18345,27939,0,0,347517,15903,29496,17421,13188,10797,8190,11589,9060,6915,5166,5313,4029,3282,3357,600,744,744,672,676,329,616,341,482,599,92,605,480,717,583,653,721,700,315,0,0,1,10,88,620,720,698,611,216,704,740,717,743,719,677,444
366,139,3253,3234,19062,10451,5.101933216,0.535608771,0.203715814,2015/08/07,2015/08/01,2021/07/31,Water: SLB-WaterFrac (WF),3745.56,156.07,8304.2,346.01,24,2352.88,100.86,1113.27,8304.17,3.53,1.59,Sand,Sand,40/70,156.07,3745.56,0,3745.56,60977.5,48966,255,0,124359,98847,101175,102831,97944,74796,72378,68367,60375,65526,45078,49857,40521,31941,33405,31926,33009,36687,27159,22458,25329,22887,20304,16557,7083,5826,7548,3738,3015,0,0,1608,7110,2578.5,8997,83367,0,18732,13374,10206,8172,8412,6573,5238,4116,4470,3414,2652,3312,2865,2691,2664,2370,2478,2124,1569,1326,1671,1557,1467,1620,1662,1353,1395,1071,1038,0,315,675,1260,190,10,0,450,725,734,583,672,702,739,570,744,719,703,485,719,719,726,660,731,683,732,715,592,719,680,569,657,707,695,578,188,0,316,593,716
368,140,3059,3034,20630,10523,6.326226013,0.469101861,0.267882591,2015/06/15,2015/06/01,2021/07/31,Water: SLB-WaterFrac (WF),4502.77,160.81,7848.3,280.3,28,2899.9,107.37,1930.05,7814.7,2.71,1.55,Sand,Sand,40/70,160.81,4502.77,0,4502.77,87598.33333,57060,102156,0,0,109830,159339,174693,169872,141330,128517,107985,106551,89148,84357,81315,64842,75876,59670,62055,55254,49908,48900,26604,44844,29472,23520,31878,30933,30654,25203,24021,3261,18744,23004,16524,29106,19110,3552,24378,0,0,18327,21555,25062,23637,14808,15528,11988,10281,8493,9684,7938,6063,7422,5757,4914,4494,4254,3720,2082,3303,2019,1842,3042,2871,3150,2730,2748,957,3012,2667,2139,2613,177,51,0,0,590,596,723,723,680,628,711,742,705,720,714,718,446,688,744,742,670,735,667,711,717,721,744,711,741,718,737,728,668,743,720,743
370,141,3250,3232,20876,10689,126.1282051,0.464280439,0.290498781,2014/04/15,2014/04/01,2021/07/31,Water: SLB-WideFrac (YF),2785.53,75.28,14917.7,403.18,37,2890.7,79.42,3186.66,15173.67,5.16,0.96,Ceramic/Sand,EconoProp,40/80,12.17,450.25,558.13,2227.4,118624.9167,88191,110289,258273,126099,4327917,237885,200301,186975,200154,180873,153432,166650,128481,122838,0,125307,148980,126408,142824,117432,116586,103344,92460,121638,0,65745,62508,72525,71631,69225,70518,65499,63165,44925,63942,57615,60944,21285,154020,0,3,2493,0,0,0,0,19482,11061,14094,12915,12978,0,30213,28911,26583,24363,17004,14394,11643,9657,9339,9423,7734,9126,7311,5931,5196,5538,4482,4011,3696,3438,3294,133,48,573,573,24,610,277,239,662,694,669,467,689,454,0,117,598,659,560,596,711,719,671,124,5,728,687,728,714,713,518,711,741,740,670,739
374,143,3083,3054,19524,10397,0.110429448,0.403616683,0.235982536,2017/08/20,2017/07/01,2021/07/31,Water: SLB-WaterFrac (WF),6037.64,158.89,18285.6,481.2,38,2657.2,67.32,0,18285.6,6.88,2.27,Sand,Sand,40/70,158.89,6037.64,0,6037.64,38058.33333,89892,88464,102198,68985,55815,52590,43938,38640,30495,28833,25233,23892,23511,22272,23628,18993,20001,20085,17910,14817,13473,13251,15186,15051,13674,12099,10182,9723,10227,7542,8670,9003,9177,16008,16428,17292,12763,23898,18417,16890,10605,7512,6447,5046,4362,3234,2895,2721,2814,3063,3411,3126,2622,2643,2280,1551,1698,1401,1518,1560,1479,1296,1146,942,852,627,675,834,945,1044,1284,1053,1125,288,312,394,429,532,736,725,672,744,720,741,716,738,734,503,741,718,737,738,665,719,717,739,720,743,742,720,731,717,744,735,692,725,719,741,719
376,144,3054,3034,20194,10521,0.619273984,0.424785806,0.251170878,2015/06/25,2015/06/01,2021/07/31,Water: SLB-WaterFrac (WF),6202.95,238.58,8695.3,334.43,26,2686.74,105.72,1488.1,8692.89,3.24,2.31,Sand,Sand,40/70,238.58,6202.95,0,6202.95,38999.41667,27009,125784,0,0,60114,144717,88935,118779,110844,0,142311,123945,110280,98877,94254,67143,68820,70995,62391,61068,56820,53919,66939,68133,53988,54705,59385,50775,28293,26571,15258,9021,29295,29319,30402,38865,25360,891,32631,0,0,10779,28821,18174,25755,25023,0,29856,22908,16953,14622,13851,10779,14418,12036,8826,8859,8511,7383,7143,5352,4083,4068,5817,5448,5262,4653,2988,2073,5199,4281,4401,4818,143,49,0,0,366,476,218,63,170,0,699,733,700,738,695,714,395,718,744,740,672,737,716,736,694,716,742,710,715,718,742,730,670,744,720,744
378,145,3052,3029,20413,10520,0.31627907,0.455006894,0.25123136,2014/10/13,2014/10/01,2021/07/31,Slickwater: CWS-600,4460.3,123.9,29366.3,815.73,36,2896.9,82.73,4043.99,29366.29,10.14,1.54,Ceramic/Sand,HydroProp,40/80,14.83,533.8,533.8,3926.5,71774.08333,71424,97167,230604,0,228432,258627,216090,188595,0,213,0,0,8025,147288,156459,150186,129300,113391,96357,80280,59745,53934,61188,48924,54018,43419,39903,39069,37308,35913,25581,30738,16746,14997,6603,3765,16405,18987,36963,45936,0,20301,24519,24450,24294,17556,4764,0,0,813,25164,26907,23967,17673,19281,11511,9639,7047,7134,6873,5229,6507,5760,4239,4221,4083,3561,2358,2442,1815,1353,1017,789,267,163,49,0,645,716,692,487,24,120,0,0,571,561,709,705,678,697,711,741,708,736,609,717,392,720,744,739,672,733,703,493,577,730,740,556
393,147,3210,3177,20112,10802,0.223019339,0.236684667,0.307463759,2018/04/25,2018/02/01,2021/07/31,Slickwater: BJ-ThinFrac,5573.48,142.91,62566.55,1604.27,39,2672.35,68.5,5415.93,65258.34,23.41,2.09,Sand,White,40/70,142.91,5573.48,0,5573.48,150019,149331,264876,228885,165111,161628,184425,207588,196200,176865,158118,147183,145323,0,38214,30690,35784,41061,43929,45222,45129,44109,40953,44679,44238,42276,36408,35481,34926,34527,25698,26463,27093,25629,25074,24705,24285,25541.5,34938,62445,40866,34365,30081,24795,26349,23619,21651,19578,17817,18747,0,7641,7005,8016,8760,8970,9753,9762,10089,9723,8823,7632,6912,6156,5763,5670,5457,4350,4851,5007,4794,4737,4593,4269,245,735,108,734,708,722,730,711,732,715,744,195,0,538,719,740,716,744,732,713,693,718,743,741,693,743,716,742,715,741,741,712,742,714,742,738
403,152,3250,3232,17966,10622,0.498630762,0.45244641,0.319662061,2014/05/15,2014/05/01,2021/07/31,Water: SLB-WideFrac (YF)/HiWAY,2043.16,72.97,11286.3,403.08,28,2206.84,80.81,933.27,11409.5,5.11,0.93,Ceramic/Sand,HydroProp,40/80,14.84,415.57,415.57,1627.59,63664.08333,98829,155727,112803,138936,104298,81216,80424,66090,44550,48912,81846,60471,53862,0,403011,123813,73659,57210,41046,26610,19497,17001,41586,34032,12738,11757,16206,12000,14907,15720,13941,13215,10053,14691,10476,9399,11962.5,24612,0,69,285,0,0,0,0,4983,3741,7278,6750,7347,0,173760,18387,9339,7770,5682,3414,2562,2097,4668,5703,1398,2481,3255,1977,2223,2136,1689,1386,1362,1203,1116,1020,265,578,562,573,583,410,238,640,712,639,391,667,344,0,2,580,676,640,614,711,724,673,389,255,730,665,686,684,699,510,646,739,729,670,726,604
405,153,3183,3157,19606,10561,0.311895551,0.489893477,0.301139693,2016/10/01,2016/09/01,2021/07/31,Slickwater: CWS-600,6542.1,163.55,41963.7,1049.09,40,2701.17,68.14,499.07,41963.7,15.54,2.42,Sand,Sand,40/70,163.55,6542.1,0,6542.1,148510.25,197979,220479,246225,118308,225387,109944,205449,273867,210663,155442,118542,139905,137388,139698,132558,120177,107940,101817,97437,94176,94452,88986,81132,78462,68424,66318,62502,62052,60516,60255,56199,50091,48270,45381,44877,41799,47769.5,31668,31608,27864,27618,18471,8424,13863,12075,8271,8643,6894,5880,4848,4974,4545,3870,3444,3165,2790,2559,2535,2340,2094,2226,2112,2277,2271,2199,1914,2121,1695,1617,1704,1320,1221,1212,396,434,444,744,744,96,737,717,605,509,634,743,720,742,720,744,743,672,744,720,743,720,741,744,718,744,720,741,744,659,743,720,744,718,744,744
407,154,3250,3233,20505,10675,0.605263158,0.467238946,0.296029031,2013/10/10,2013/10/01,2021/07/31,Water: CSG-Optimum,4500,125,5807.44,161.32,36,2863.64,80.43,0,5807.4,2.03,1.57,Ceramic/Sand,HydroProp,40/80,12.5,450,450,4050,39410.58333,184452,123879,87477,90498,67119,59802,51,76392,97893,0,57942,70317,49242,76515,41334,24528,19056,31416,22410,26898,0,57306,120051,95613,55677,31347,17541,15600,18021,23586,27636,20808,15999,18930,16446,11340,18526.5,3,0,0,3,0,0,1374,16578,0,0,0,18,0,0,0,2712,1542,2931,2445,3345,0,9177,14715,10407,6972,3315,2175,1776,1824,2370,4164,1269,1611,1983,2103,1188,129,678,676,623,672,641,700,90,2,0,175,235,374,580,632,719,279,73,643,387,0,119,387,654,639,633,712,712,663,47,418,734,704,486,412,698
410,155,3183,3157,19984,10421,0.69776482,0.490016577,0.310223213,2017/03/01,2016/09/01,2021/07/31,Slickwater: CWS-600,4771.8,164.54,31292.37,1079.05,29,2753.08,98.03,1220.29,34772.07,11.37,1.73,Sand,Sand,40/70,164.54,4771.8,0,4771.8,121095.1667,87207,0,528,199401,78966,14424,229938,263625,184491,143910,153966,155733,148356,140754,140874,126153,113652,101379,97263,91002,95226,86436,81231,76737,62190,62169,61218,59790,58755,56121,52890,47244,49029,31539,28851,46668,42703.5,23115,18666,507,28206,13128,2106,17241,14202,8859,6909,6813,6453,5415,5334,5058,4233,3705,3276,2904,2709,2736,2634,2871,2973,3045,3084,3087,2925,2661,2220,1995,1968,1743,1185,879,1476,366,5,241,613,744,672,741,708,727,715,739,743,719,742,712,744,743,669,744,720,743,720,741,738,718,744,720,742,744,666,744,720,742,713,743,744
412,156,3210,3201,20075,10540,1.926938093,0.487287857,0.333553838,2016/07/01,2016/06/01,2021/07/31,Slickwater: CWS-600,4466,159.5,32980.7,1177.88,28,2716.5,99.48,2747.62,32980.67,12.14,1.64,Sand,Sand,40/70,159.5,4466,0,4466,41988.83333,112302,100152,92694,60897,47565,43086,35343,27552,7170,39156,42597,36450,36375,34203,32880,22830,14694,22161,23553,23622,23823,22089,25236,26040,22767,23619,22869,22602,17652,21396,15744,13449,16704,16434,15705,15429,15577.5,29799,41685,27510,15975,14805,12885,8748,8328,5913,9024,9414,7089,5637,5874,5436,4389,3666,5928,5544,6129,5955,4836,4782,4131,3360,3600,4446,4506,3360,3762,3222,2661,2667,2490,2637,2619,364,314,602,706,492,718,739,743,596,736,720,740,714,738,741,707,696,718,738,741,672,735,716,741,717,734,740,503,744,720,729,709,672,744,720,744
414,157,3209,3198,19849,10386,1.665911151,0.492531924,0.335965526,2016/07/01,2016/06/01,2021/07/31,Slickwater: CWS-600,6400,160,42614.3,1065.36,40,2726.26,69.01,0,42617.3,15.63,2.35,Sand,Sand,40/70,160,6400,0,6400,52626.5,111714,87000,87174,68898,61596,66087,58956,48888,49752,42306,51657,41268,38271,36426,36171,35172,31689,24636,22542,20331,14343,14724,16320,18276,17163,19404,19017,19542,15258,13740,17397,24132,26187,21201,19131,17442,20915,40788,38712,26244,18180,18294,15786,10248,9330,10227,8868,10611,7863,6921,9591,10623,11487,5700,5208,6573,5490,2745,3876,5505,5646,3978,2610,2766,2859,2496,2310,2619,2607,2454,2193,1812,1443,360,320,534,713,497,719,744,744,672,739,720,744,718,743,743,712,705,720,736,738,672,741,713,740,717,743,740,534,741,719,741,738,671,742,719,741
416,158,3177,3158,19685,10285,1.719017094,0.488198799,0.330798163,2016/10/01,2016/09/01,2021/07/31,Slickwater: CWS-600,4480,160,34170.1,1220.36,28,2666.07,97.5,25.44,34195.54,12.82,1.68,Sand,Sand,40/70,160,4480,0,4480,92965,127815,175596,165648,111696,135402,135225,113811,132348,86949,50742,45786,41457,40506,32184,24807,23163,24237,28941,26100,23418,21942,20322,27480,30558,29835,24540,18186,17928,18258,17250,16122,16404,14754,16503,15315,13071,15361.5,36327,36066,25473,14595,14382,11457,7776,6543,4500,4761,4335,4185,3876,4086,3270,2796,2604,2595,2247,1983,1602,1578,1893,1908,1923,1767,1608,1569,1320,1188,1179,1224,1200,1164,1089,1128,559,437,440,631,703,637,642,718,726,684,737,740,718,741,710,736,737,668,737,711,739,716,739,739,716,739,713,739,738,664,736,714,739,706,742,741
418,159,3177,3157,19514,10452,1.497157849,0.493442865,0.333039747,2016/10/01,2016/09/01,2021/07/31,Slickwater: CWS-600,6578.97,164.47,51139.81,1278.5,40,2593.65,65.81,1536.91,51512.3,19.72,2.54,Sand,Sand,40/70,164.47,6578.97,0,6578.97,150939.8333,165099,204516,205992,161586,236979,199041,192921,215664,163008,102732,106416,112263,98574,91410,79824,76386,68877,48366,67212,58275,62121,54873,41304,16596,234,22017,34581,31497,29370,28551,30162,24342,23148,12912,12954,23619,21189.5,37611,32778,27360,16863,19389,14937,11778,10929,7122,5232,5586,5712,5028,5013,4290,3939,3828,2790,3690,3021,3027,2406,1863,897,180,1830,2466,2241,1728,1680,1710,1440,1428,900,1122,1587,531,488,401,542,705,638,739,718,742,704,739,740,720,737,720,744,743,648,744,717,743,720,741,744,675,710,720,741,744,669,744,720,743,625,710,744
420,160,3176,3157,19049,10302,1.429064417,0.4975421,0.336487176,2016/10/01,2016/09/01,2021/07/31,Slickwater: CWS-600,5732.8,146.99,44284.6,1135.5,39,2475.52,68,1178.9,49091.19,17.89,2.32,Sand,Sand,40/70,146.99,5732.8,0,5732.8,72356.25,125094,185952,181059,114486,100137,93789,88995,87870,52110,11421,3003,0,384,0,25875,30009,31788,21924,22782,26049,24123,18462,15972,22977,22599,29433,29310,28017,24246,24843,23976,22377,21072,21429,21606,21696,22026,38556,38103,27081,16815,13356,10461,7986,7323,4179,1476,717,2616,348,0,7533,4116,3525,2499,2565,2472,2109,1701,1605,2172,2166,2499,2247,1980,1503,1551,1419,1464,1437,1380,1386,1344,525,438,644,625,700,636,739,679,611,187,243,197,285,0,91,744,743,672,730,718,738,717,738,735,679,737,713,736,738,666,739,718,742,716,742,742
422,161,3212,3182,20413,10501,1.574326571,0.502860027,0.347944584,2016/05/01,2016/05/01,2021/07/31,Slickwater: CWS-600,4937,176.32,32499.37,1160.69,28,2823.23,104.55,0,32499.4,11.51,1.75,Sand,Imported,40/70,176.32,4937,0,4937,41306.41667,1638,102966,104355,113217,71652,60003,59829,52545,42648,21837,20595,14811,27447,28914,19314,17898,13875,21921,19659,19233,21012,22869,24819,24705,27360,26202,23763,24603,24261,16896,20631,11067,9528,14892,15792,16014,14654,4362,36909,41277,30357,19023,19023,15315,10653,9501,7116,6276,4851,5853,5061,3657,2676,1911,4494,5637,5319,4890,4200,3924,3024,3117,3429,3516,3687,4149,3114,3411,2697,2448,2397,2232,1836,264,125,334,655,698,506,718,744,744,666,742,715,735,716,743,743,648,712,720,735,738,670,740,715,740,717,733,741,491,744,720,744,708,672,744,720
